dir_name,job_name,key,took_once_1st,took_once_2nd,took_all,nbatches,nnodes,ncpus,batch-per-cpu
test_nodes-2,3n28c_0929-1626,3n28c,4.34,0.19,507.65,210000,3,28,2500.0
test_nodes-2,2n28c_0929-1606,2n28c,4.37,0.19,464.62,140000,2,28,2500.0
test_nodes,2n08c_0929-1611,2n08c,60.58,0.2,833.6,40000,2,8,2500.0
test_nodes,2n14c_0929-1612,2n14c,44.37,0.21,808.3,70000,2,14,2500.0
test_nodes,2n2c_0929-1604,2n02c,101.27,0.2,831.84,10000,2,2,2500.0
test_nodes,3n28c_0929-1626,3n28c,53.63,0.2,1327.89,210000,3,28,2500.0
test_nodes,2n28c_0929-1606,2n28c,21.35,0.19,482.06,140000,2,28,2500.0
test_nodes-3,test-ray-2n_0929-1429-copy,2n28c,18.09,0.19,1375.13,420000,2,28,7500.0
test_nodes-3,test-ray-4n_0929-1429,4n28c,5.59,0.24,1449.89,840000,4,28,7500.0
test_nodes-3,test-ray-2n_0929-1429,2n28c,57.85,0.17,2617.99,420000,2,28,7500.0
test_once,test-ray-4c_0929-1426,1n04c,76.23,0.18,1351.59,30000,1,4,7500.0
test_once,test-ray-16c_0929-1427,1n16c,5.2,0.18,1215.82,120000,1,16,7500.0
test_once,test-ray-8c_0929-1426,1n08c,51.4,0.18,1283.21,60000,1,8,7500.0
test_once,test-ray-16c_0929-1428,1n28c,58.23,0.2,1293.24,210000,1,28,7500.0
