dir_name,job_name,key,took_once_1st,took_once_2nd,took_all,nbatches,nnodes,ncpus,batch-per-cpu,core*s,cpu%,real_time(min),ray_time(min),serial_time(min),ncore,speed-up(ray),speed-up(real),real%,ray%
test_nodes,2n28c_0929-1606,2n28c,21.35,0.19,482.06,140000,2,28,2500.0,30576.0,41.25,9.1,8.034333333333333,396.6666666666667,56,49.37144753765092,43.58974358974359,77.83882783882784,88.16329917437665
test_nodes,3n28c_0929-1626,3n28c,53.63,0.2,1327.89,210000,3,28,2500.0,120456.0,25.03,23.9,22.131500000000003,595.0,84,26.884757020536338,24.89539748953975,29.637377963737798,32.00566311968612
test_nodes-2,2n28c_0929-1606,2n28c,4.37,0.19,464.62,140000,2,28,2500.0,28616.0,49.59,8.516666666666667,7.743666666666667,396.6666666666667,56,51.224656708708196,46.57534246575342,83.17025440313111,91.47260126555035
test_nodes-2,3n28c_0929-1626,3n28c,4.34,0.19,507.65,210000,3,28,2500.0,46956.0,40.25,9.316666666666666,8.460833333333333,595.0,84,70.32404215502807,63.864042933810374,76.02862254025044,83.71909780360485
test_nodes-3,test-ray-2n_0929-1429-copy,2n28c,18.09,0.19,1375.13,420000,2,28,7500.0,80528.0,74.73,23.966666666666665,22.918833333333335,1190.0,56,51.92236370379527,49.652294853963845,88.66481223922115,92.71850661392013
test_nodes-3,test-ray-2n_0929-1429,2n28c,57.85,0.17,2617.99,420000,2,28,7500.0,152880.0,46.22,45.5,43.63316666666666,1190.0,56,27.272831447026157,26.153846153846153,46.7032967032967,48.70148472683242
test_nodes-3,test-ray-4n_0929-1429,4n28c,5.59,0.24,1449.89,840000,4,28,7500.0,169232.0,73.72,25.183333333333334,24.164833333333334,2380.0,112,98.4902302933326,94.50694904037061,84.38120450033091,87.93770561904697
test_once,test-ray-4c_0929-1426,1n04c,76.23,0.18,1351.59,30000,1,4,7500.0,5896.0,73.71,24.566666666666666,22.5265,85.0,4,3.773333629281069,3.4599728629579376,86.49932157394844,94.33334073202673
test_once,test-ray-8c_0929-1426,1n08c,51.4,0.18,1283.21,60000,1,8,7500.0,11040.0,80.99,23.0,21.386833333333335,170.0,8,7.948815860225527,7.391304347826087,92.3913043478261,99.36019825281909
test_once,test-ray-16c_0929-1427,1n16c,5.2,0.18,1215.82,120000,1,16,7500.0,20128.0,92.74,20.966666666666665,20.263666666666666,340.0,16,16.778799493346057,16.216216216216218,101.35135135135135,104.86749683341286
test_once,test-ray-16c_0929-1428,1n28c,58.23,0.2,1293.24,210000,1,28,7500.0,39256.0,76.28,23.366666666666667,21.554,595.0,28,27.605084903034243,25.463623395149785,90.94151212553496,98.58958893940802
